               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12287,            0.074156,            0.061806,           0.0017035,            0.024408,          0.00097348,          0.00023423,             0.11494,             0.07737,            0.060822,              0.0775,              0.0025,              0.0025
                   1,             0.11552,            0.081539,            0.058309,           0.0028711,             0.11409,           0.0029399,          0.00069955,             0.10168,            0.090801,             0.05415,            0.054083,           0.0050832,           0.0050832
                   2,             0.10581,            0.089274,            0.051935,             0.13329,            0.070057,           0.0088061,           0.0018586,            0.091916,            0.096779,            0.047604,            0.030649,           0.0076492,           0.0076492
                   3,            0.097391,            0.088107,            0.046316,             0.63369,             0.10018,            0.011238,           0.0027295,             0.10033,             0.18814,            0.041937,            0.009901,            0.009901,            0.009901
                   4,             0.10183,            0.076556,            0.040842,             0.65631,            0.062704,            0.022121,           0.0052493,             0.10185,             0.12935,            0.038962,            0.009901,            0.009901,            0.009901
                   5,            0.094667,            0.077414,            0.037492,             0.51702,             0.09807,            0.016995,           0.0041133,             0.10291,             0.11265,            0.035794,            0.009868,            0.009868,            0.009868
                   6,            0.096098,            0.068895,            0.036568,              0.5268,             0.12562,            0.031065,           0.0075425,            0.094511,            0.076862,            0.032925,            0.009835,            0.009835,            0.009835
                   7,             0.09592,            0.067155,             0.03411,               0.552,             0.15534,            0.046494,            0.012399,            0.089774,            0.073891,            0.032076,            0.009802,            0.009802,            0.009802
                   8,            0.091442,            0.071881,            0.032096,             0.73292,             0.16621,             0.10418,            0.027092,            0.084799,            0.072685,            0.030934,            0.009769,            0.009769,            0.009769
                   9,            0.087497,            0.070015,             0.03279,             0.73783,             0.19409,             0.12011,            0.033527,            0.083015,            0.069717,            0.030455,            0.009736,            0.009736,            0.009736
                  10,            0.086211,            0.063382,            0.031704,             0.74476,             0.17244,            0.084224,            0.030079,            0.087814,            0.069923,            0.029861,            0.009703,            0.009703,            0.009703
